CrimeDate,CrimeCode,CrimeTime,Location,Description,Weapon,Post,District,Neighborhood,Latitude,Longitude
12/31/14,3B,20:55:00,100 N Potomac St,Robbery - Street,,222,Southeastern,Patterson Park Neighborhood,39.29359,-76.5749
12/31/14,4B,16:40:00,3200 Batavia Av,Agg. Assault,Knife,426,Northeastern,Waltherson,39.34762,-76.56171
12/31/14,4B,16:40:00,3200 Batavia Av,Agg. Assault,Knife,426,Northeastern,Waltherson,39.34762,-76.56171
12/31/14,4A,19:00:00,4400 Belair Rd,Agg. Assault,Firearm,422,Northeastern,Arcadia,39.32935,-76.564
12/31/14,4C,19:30:00,,Agg. Assault,Other,931,Southern,Hollins Market,39.28669,-76.63517
12/31/14,3AF,1:00:00,2300 E Fairmount Av,Robbery - Street,Firearm,221,Southeastern,Patterson Place,39.29305,-76.58427
12/31/14,3AO,1:45:00,2500 W Belvedere Ave,Robbery - Street,Other,532,Northern,Levindale,39.35292,-76.66686
12/31/14,1F,840,4000 2Nd St,Homicide,Firearm,913,Southern,Brooklyn,39.23374,-76.61079
12/31/14,3AF,10:27:00,4000 Spruce Dr,Robbery - Street,Firearm,533,Northern,Greenspring,39.33666,-76.65729
12/31/14,3AF,10:27:00,4000 Spruce Dr,Robbery - Street,Firearm,533,Northern,Greenspring,39.33666,-76.65729
12/31/14,3D,11:44:00,0 N Calvert St,Robbery - Commercial,,111,Central,Downtown,39.29011,-76.61236
12/31/14,4B,13:18:00,4600 Mary Av,Agg. Assault,Knife,445,Northeastern,Cedmont,39.34272,-76.53583
12/31/14,3AF,15:00:00,4300 Nicholas Av,Robbery - Street,Firearm,442,Northeastern,Belair-Edison,39.32795,-76.56246
12/31/14,4B,22:00:00,600 E Patapsco Ave,Agg. Assault,Knife,913,Southern,Brooklyn,39.23627,-76.60207
12/31/14,4C,22:00:00,4300 E Eager St,Agg. Assault,Other,333,Eastern,Orangeville,39.30319,-76.56146
12/31/14,4B,22:22:00,1300 Poplar Grove St,Agg. Assault,Knife,814,Southwestern,Winchester,39.30217,-76.66538
12/30/14,4B,0:30:00,500 N Montford Av,Agg. Assault,Knife,221,Southeastern,McElderry Park,39.29715,-76.58364
12/30/14,1F,123,3100 Greenmount Av,Homicide,Firearm,513,Northern,Abell,39.32618,-76.60944
12/30/14,3AJF,3:02:00,3100 Mondawmin Av,Robbery - Carjacking,Firearm,641,Northwestern,Hanlon-Longwood,39.31524,-76.66991
12/30/14,4B,5:00:00,7300 Harford Rd,Agg. Assault,Knife,424,Northeastern,North Harford Road,39.36983,-76.54631
12/30/14,4D,5:00:00,1500 Argyle Av,Agg. Assault,Hands,123,Central,Upton,39.30196,-76.63443
12/30/14,4A,9:25:00,800 N Stricker St,Agg. Assault,Firearm,713,Western,Harlem Park,39.29838,-76.64154
12/30/14,3AF,0:30:00,,Robbery - Street,Firearm,332,Eastern,Broadway East,39.3126,-76.58404
12/30/14,4B,0:30:00,500 N Montford Av,Agg. Assault,Knife,221,Southeastern,McElderry Park,39.29715,-76.58364
12/30/14,4A,0:37:00,300 Martingale Av,Agg. Assault,Firearm,833,Southwestern,Irvington,39.28035,-76.69041
