CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Latitude,Longitude
3/5/16,9:25:00,6B,5000 HARFORD RD,LARCENY,,426,NORTHEASTERN,Waltherson,39.34738,-76.56558
3/5/16,1:30:00,4E,1500 RUSSELL ST,COMMON ASSAULT,HANDS,941,SOUTHERN,Carroll - Camden Industrial Area,39.27408,-76.62769
3/5/16,10:00:00,5A,200 ROBERT ST,BURGLARY,,132,CENTRAL,Bolton Hill,39.30971,-76.63029
3/5/16,10:18:00,7A,1700 BRADDISH AVE,AUTO THEFT,,723,WESTERN,Coppin Heights/Ash-Co-East,39.30761,-76.661
3/5/16,10:38:00,4E,2400 KERMIT CT,COMMON ASSAULT,HANDS,921,SOUTHERN,Westport,39.26273,-76.64075
3/5/16,11:00:00,5B,5100 PLAINFIELD AVE,BURGLARY,,443,NORTHEASTERN,Frankford,39.33248,-76.55024
3/5/16,11:30:00,4C,1000 WILMOT CT,AGG. ASSAULT,OTHER,312,EASTERN,Oldtown,39.29936,-76.60334
3/5/16,11:30:00,4B,1000 WILMOT CT,AGG. ASSAULT,KNIFE,312,EASTERN,Oldtown,39.29936,-76.60334
3/5/16,1:05:00,3AF,1000 E PRATT ST,ROBBERY - STREET,FIREARM,211,SOUTHEASTERN,Little Italy,39.28795,-76.6014
3/5/16,11:30:00,6D,0 W PRATT ST,LARCENY FROM AUTO,,113,CENTRAL,Downtown West,39.2865,-76.61535
3/5/16,12:00:00,7A,RD & DARLEY AV,AUTO THEFT,,342,EASTERN,East Baltimore Midway,39.31503,-76.59713
3/5/16,12:14:00,4E,6800 BOSTON AVE,COMMON ASSAULT,HANDS,243,SOUTHEASTERN,Graceland Park,39.28033,-76.53012
3/5/16,12:14:00,4D,6800 BOSTON AVE,AGG. ASSAULT,HANDS,243,SOUTHEASTERN,Graceland Park,39.28033,-76.53012
3/5/16,12:20:00,3NF,500 E 28TH ST,ROBBERY - STREET,FIREARM,513,NORTHERN,Better Waverly,39.32217,-76.60922
